x,y,zone,n_polygons,landed_in,defect,source
18.5,137.5,paint,1,mid_center,disagreement,grid
18.75,137.5,paint,1,mid_center,disagreement,grid
19,137.5,paint,1,mid_center,disagreement,grid
19.25,137.5,paint,1,mid_center,disagreement,grid
19.5,137.5,paint,1,mid_center,disagreement,grid
19.75,137.5,paint,1,mid_center,disagreement,grid
20,137.5,paint,1,mid_center,disagreement,grid
20.25,137.5,paint,1,mid_center,disagreement,grid
20.5,137.5,paint,1,mid_center,disagreement,grid
20.75,137.5,paint,1,mid_center,disagreement,grid
21,137.5,paint,1,mid_center,disagreement,grid
21.25,137.5,paint,1,mid_center,disagreement,grid
21.5,137.5,paint,1,mid_center,disagreement,grid
21.75,137.5,paint,1,mid_center,disagreement,grid
21.75,236.5,mid_center,1,arc3_top,disagreement,grid
22,137.5,paint,1,mid_center,disagreement,grid
22.25,137.5,paint,1,mid_center,disagreement,grid
22.5,137.5,paint,1,mid_center,disagreement,grid
22.75,137.5,paint,1,mid_center,disagreement,grid
23,137.5,paint,1,mid_center,disagreement,grid
23.25,137.5,paint,1,mid_center,disagreement,grid
23.5,137.5,paint,1,mid_center,disagreement,grid
23.75,137.5,paint,1,mid_center,disagreement,grid
24,137.5,paint,1,mid_center,disagreement,grid
24.25,137.5,paint,1,mid_center,disagreement,grid
24.5,137.5,paint,1,mid_center,disagreement,grid
24.75,137.5,paint,1,mid_center,disagreement,grid
25,137.5,paint,1,mid_center,disagreement,grid
25.25,-31,rim,1,paint,disagreement,grid
25.25,31,rim,1,paint,disagreement,grid
25.25,137.5,paint,1,mid_center,disagreement,grid
25.5,137.5,paint,1,mid_center,disagreement,grid
25.75,137.5,paint,1,mid_center,disagreement,grid
26,137.5,paint,1,mid_center,disagreement,grid
26.25,137.5,paint,1,mid_center,disagreement,grid
26.5,137.5,paint,1,mid_center,disagreement,grid
26.75,137.5,paint,1,mid_center,disagreement,grid
27,-29.5,rim,1,paint,disagreement,grid
27,29.5,rim,1,paint,disagreement,grid
27,137.5,paint,1,mid_center,disagreement,grid
27.25,137.5,paint,1,mid_center,disagreement,grid
27.5,137.5,paint,1,mid_center,disagreement,grid
27.75,137.5,paint,1,mid_center,disagreement,grid
28,137.5,paint,1,mid_center,disagreement,grid
28.25,137.5,paint,1,mid_center,disagreement,grid
28.5,137.5,paint,1,mid_center,disagreement,grid
28.75,137.5,paint,1,mid_center,disagreement,grid
29,137.5,paint,1,mid_center,disagreement,grid
29.25,137.5,paint,1,mid_center,disagreement,grid
29.5,-27,rim,1,paint,disagreement,grid
29.5,27,rim,1,paint,disagreement,grid
29.5,137.5,paint,1,mid_center,disagreement,grid
29.75,137.5,paint,1,mid_center,disagreement,grid
30,137.5,paint,1,mid_center,disagreement,grid
30.25,137.5,paint,1,mid_center,disagreement,grid
30.5,137.5,paint,1,mid_center,disagreement,grid
30.75,137.5,paint,1,mid_center,disagreement,grid
31,-25.25,rim,1,paint,disagreement,grid
31,25.25,rim,1,paint,disagreement,grid
31,137.5,paint,1,mid_center,disagreement,grid
31.25,137.5,paint,1,mid_center,disagreement,grid
31.5,137.5,paint,1,mid_center,disagreement,grid
31.75,137.5,paint,1,mid_center,disagreement,grid
32,137.5,paint,1,mid_center,disagreement,grid
32.25,137.5,paint,1,mid_center,disagreement,grid
32.5,137.5,paint,1,mid_center,disagreement,grid
32.75,137.5,paint,1,mid_center,disagreement,grid
33,137.5,paint,1,mid_center,disagreement,grid
33.25,137.5,paint,1,mid_center,disagreement,grid
33.5,137.5,paint,1,mid_center,disagreement,grid
