season,ACTION_TYPE,creation_family,finish_family,shots,share
2022-23,Turnaround Jump Shot,other_or_unknown,fadeaway_or_turnaround,2868,0.013203204124850381
2023-24,Alley Oop Dunk Shot,drive_cut_or_roll,dunk,1621,0.007411979881115684
2023-24,Alley Oop Layup shot,drive_cut_or_roll,layup,764,0.0034933699131229996
2023-24,Cutting Dunk Shot,drive_cut_or_roll,dunk,3017,0.013795153177869227
2023-24,Cutting Finger Roll Layup Shot,drive_cut_or_roll,layup,705,0.0032235939643347053
2023-24,Cutting Layup Shot,drive_cut_or_roll,layup,5189,0.023726566072245086
2023-24,Driving Bank Hook Shot,drive_cut_or_roll,hook,305,0.0013946044810242341
2023-24,Driving Dunk Shot,drive_cut_or_roll,dunk,2100,0.009602194787379973
2023-24,Driving Finger Roll Layup Shot,drive_cut_or_roll,layup,6143,0.02808870598994056
2023-24,Driving Floating Bank Jump Shot,drive_cut_or_roll,floater,3303,0.015102880658436214
2023-24,Driving Floating Jump Shot,drive_cut_or_roll,floater,11005,0.050320073159579336
2023-24,Driving Hook Shot,drive_cut_or_roll,hook,1586,0.007251943301326017
2023-24,Driving Layup Shot,drive_cut_or_roll,layup,19567,0.08946959304983997
2023-24,Driving Reverse Dunk Shot,drive_cut_or_roll,dunk,39,1.783264746227709e-4
2023-24,Driving Reverse Layup Shot,drive_cut_or_roll,layup,2345,0.010722450845907635
2023-24,Dunk Shot,other_or_unknown,dunk,1455,0.006652949245541838
2023-24,Fadeaway Bank shot,other_or_unknown,fadeaway_or_turnaround,218,9.967992684042067e-4
2023-24,Fadeaway Jump Shot,other_or_unknown,fadeaway_or_turnaround,4265,0.019501600365797896
2023-24,Finger Roll Layup Shot,other_or_unknown,layup,391,0.0017878372199359855
2023-24,Floating Jump shot,other_or_unknown,floater,4040,0.018472793781435758
2023-24,Hook Bank Shot,other_or_unknown,hook,135,6.172839506172839e-4
2023-24,Hook Shot,other_or_unknown,hook,1899,0.00868312757201646
2023-24,Jump Bank Shot,other_or_unknown,regular_jumper,413,0.0018884316415180612
2023-24,Jump Shot,other_or_unknown,regular_jumper,63313,0.28949702789208964
2023-24,Layup Shot,other_or_unknown,layup,5399,0.02468678555098308
2023-24,Pullup Jump shot,pull_up_or_self_created,regular_jumper,25945,0.11863283036122542
2023-24,Putback Dunk Shot,putback,dunk,494,0.0022588020118884315
2023-24,Putback Layup Shot,putback,layup,3783,0.01729766803840878
2023-24,Reverse Dunk Shot,other_or_unknown,dunk,127,5.807041609510745e-4
2023-24,Reverse Layup Shot,other_or_unknown,layup,1253,0.00572930955647005
2023-24,Running Alley Oop Dunk Shot,drive_cut_or_roll,dunk,555,0.0025377229080932786
2023-24,Running Alley Oop Layup Shot,drive_cut_or_roll,layup,185,8.459076360310928e-4
2023-24,Running Dunk Shot,other_or_unknown,dunk,2735,0.012505715592135345
2023-24,Running Finger Roll Layup Shot,other_or_unknown,layup,1700,0.007773205304069501
2023-24,Running Jump Shot,other_or_unknown,regular_jumper,5766,0.02636488340192044
2023-24,Running Layup Shot,other_or_unknown,layup,7215,0.03299039780521262
2023-24,Running Pull-Up Jump Shot,pull_up_or_self_created,regular_jumper,2936,0.013424782807498857
2023-24,Running Reverse Dunk Shot,other_or_unknown,dunk,34,1.5546410608139002e-4
2023-24,Running Reverse Layup Shot,other_or_unknown,layup,602,0.002752629172382259
2023-24,Step Back Bank Jump Shot,pull_up_or_self_created,step_back,82,3.7494284407864657e-4
2023-24,Step Back Jump shot,pull_up_or_self_created,step_back,11029,0.050429812528577964
2023-24,Tip Dunk Shot,putback,dunk,842,0.0038500228623685414
2023-24,Tip Layup Shot,putback,layup,4690,0.02144490169181527
2023-24,Turnaround Bank Hook Shot,other_or_unknown,hook,216,9.876543209876543e-4
2023-24,Turnaround Bank shot,other_or_unknown,fadeaway_or_turnaround,361,0.0016506630086877
2023-24,Turnaround Fadeaway Bank Jump Shot,other_or_unknown,fadeaway_or_turnaround,109,4.983996342021033e-4
2023-24,Turnaround Fadeaway shot,other_or_unknown,fadeaway_or_turnaround,3502,0.016012802926383175
2023-24,Turnaround Hook Shot,other_or_unknown,hook,2394,0.010946502057613168
2023-24,Turnaround Jump Shot,other_or_unknown,fadeaway_or_turnaround,2928,0.013388203017832648
2024-25,Alley Oop Dunk Shot,drive_cut_or_roll,dunk,1790,0.008153894509559188
2024-25,Alley Oop Layup shot,drive_cut_or_roll,layup,769,0.0035029859652798974
2024-25,Cutting Dunk Shot,drive_cut_or_roll,dunk,3303,0.015045985231884915
2024-25,Cutting Finger Roll Layup Shot,drive_cut_or_roll,layup,742,0.003379994260387105
2024-25,Cutting Layup Shot,drive_cut_or_roll,layup,5811,0.026470548041926504
2024-25,Driving Bank Hook Shot,drive_cut_or_roll,hook,321,0.0014622347137254188
2024-25,Driving Dunk Shot,drive_cut_or_roll,dunk,1984,0.009037612685455547
2024-25,Driving Finger Roll Layup Shot,drive_cut_or_roll,layup,6036,0.027495478916033107
2024-25,Driving Floating Bank Jump Shot,drive_cut_or_roll,floater,3678,0.01675420335539592
2024-25,Driving Floating Jump Shot,drive_cut_or_roll,floater,13437,0.06120887180164627
2024-25,Driving Hook Shot,drive_cut_or_roll,hook,1707,0.0077758088982220865
2024-25,Driving Layup Shot,drive_cut_or_roll,layup,18930,0.08623085087483544
2024-25,Driving Reverse Dunk Shot,drive_cut_or_roll,dunk,45,2.049861748213204e-4
2024-25,Driving Reverse Layup Shot,drive_cut_or_roll,layup,2142,0.00975734192149485
2024-25,Dunk Shot,other_or_unknown,dunk,1101,0.005015328410628305
2024-25,Fadeaway Bank shot,other_or_unknown,fadeaway_or_turnaround,192,8.746076792376336e-4
2024-25,Fadeaway Jump Shot,other_or_unknown,fadeaway_or_turnaround,3900,0.01776546848451443
2024-25,Finger Roll Layup Shot,other_or_unknown,layup,277,0.001261803787233461
2024-25,Floating Jump shot,other_or_unknown,floater,3683,0.016776979597042732
2024-25,Hook Bank Shot,other_or_unknown,hook,102,4.6463532959499287e-4
2024-25,Hook Shot,other_or_unknown,hook,1247,0.005680394666715256
2024-25,Jump Bank Shot,other_or_unknown,regular_jumper,374,0.0017036628751816406
2024-25,Jump Shot,other_or_unknown,regular_jumper,63033,0.2871309679447175
2024-25,Layup Shot,other_or_unknown,layup,3458,0.015752048722936132
2024-25,Pullup Jump shot,pull_up_or_self_created,regular_jumper,25568,0.11646858928514488
2024-25,Putback Dunk Shot,putback,dunk,521,0.0023732843795979536
2024-25,Putback Layup Shot,putback,layup,3689,0.01680431108701891
2024-25,Reverse Dunk Shot,other_or_unknown,dunk,84,3.826408596664647e-4
2024-25,Reverse Layup Shot,other_or_unknown,layup,975,0.004441367121128608
2024-25,Running Alley Oop Dunk Shot,drive_cut_or_roll,dunk,631,0.0028743616958278482
2024-25,Running Alley Oop Layup Shot,drive_cut_or_roll,layup,232,0.0010568176124121406
2024-25,Running Dunk Shot,other_or_unknown,dunk,3043,0.01386162066625062
2024-25,Running Finger Roll Layup Shot,other_or_unknown,layup,1727,0.00786691386480934
2024-25,Running Jump Shot,other_or_unknown,regular_jumper,6853,0.031217116801122415
2024-25,Running Layup Shot,other_or_unknown,layup,7515,0.0342326911951605
2024-25,Running Pull-Up Jump Shot,pull_up_or_self_created,regular_jumper,3277,0.014927548775321486
2024-25,Running Reverse Dunk Shot,other_or_unknown,dunk,38,0.00017309943651578165
2024-25,Running Reverse Layup Shot,other_or_unknown,layup,640,0.002915358930792112
2024-25,Step Back Bank Jump Shot,pull_up_or_self_created,step_back,81,3.6897511467837667e-4
