season,type_text,events,share
2023-24,Cutting Layup Shot,5203,0.009052694581606483
2023-24,Defensive 3-Seconds Technical,575,0.0010004419343501304
2023-24,Defensive Goaltending,670,0.0011657323408949345
2023-24,Defensive Rebound,86716,0.15087708309409723
2023-24,Delay Technical,33,5.7416667536616174e-5
2023-24,Delay of Game,479,8.334116287890651e-4
2023-24,Disc Dribble Turnover,55,9.569444589436029e-5
2023-24,Double Dribble Turnover,86,1.4963131539845427e-4
2023-24,Double Lane,6,1.0439394097566577e-5
2023-24,Double Personal Foul,15,2.6098485243916442e-5
2023-24,Double Technical Foul,80,1.391919213008877e-4
2023-24,Driving Dunk Shot,2106,0.003664227328245869
2023-24,Driving Finger Roll Layup,6165,0.010726477435249657
2023-24,Driving Floating Bank Jump Shot,2908,0.005059626339287268
2023-24,Driving Floating Jump Shot,10995,0.019130189683790752
2023-24,Driving Hook Shot,1589,0.0027646995368388817
2023-24,Driving Jump Shot Bank,388,6.750808183093053e-4
2023-24,Driving Layup Shot,19610,0.0341194197088801
2023-24,Driving Reverse Dunk Shot,41,7.133585966670495e-5
2023-24,Dunk Shot,1467,0.0025524318568550283
2023-24,Ejection,78,1.357121232683655e-4
2023-24,End Game,1231,0.0021418156890174096
2023-24,End Period,4995,0.008690795586224176
2023-24,Excess Timeout Technical,2,3.4797980325221926e-6
2023-24,Excess Timeout Turnover,2,3.4797980325221926e-6
2023-24,Fade Away Bank Jump Shot,218,3.7929798554491896e-4
2023-24,Fade Away Jump Shot,4275,0.0074380682945161865
2023-24,Finger Roll Layup,397,6.907399094556552e-4
2023-24,Flagrant Foul Type 1,112,1.9486868982124278e-4
2023-24,Flagrant Foul Type 2,18,3.1318182292699735e-5
2023-24,Floating Jump Shot,4046,0.0070396314197923955
2023-24,Flopping Technical,79,1.374520222846266e-4
2023-24,Free Throw - 1 of 1,6247,0.010869149154583068
2023-24,Free Throw - 1 of 2,21786,0.03790543996826424
2023-24,Free Throw - 1 of 3,634,0.001103095976309535
2023-24,Free Throw - 2 of 2,21776,0.03788804097810163
2023-24,Free Throw - 2 of 3,634,0.001103095976309535
2023-24,Free Throw - 3 of 3,634,0.001103095976309535
2023-24,Free Throw - Clear Path 1 of 2,24,4.1757576390266306e-5
2023-24,Free Throw - Clear Path 2 of 2,24,4.1757576390266306e-5
2023-24,Free Throw - Flagrant 1 of 1,13,2.2618687211394252e-5
2023-24,Free Throw - Flagrant 1 of 2,97,1.6877020457732632e-4
2023-24,Free Throw - Flagrant 1 of 3,20,3.4797980325221925e-5
2023-24,Free Throw - Flagrant 2 of 2,97,1.6877020457732632e-4
2023-24,Free Throw - Flagrant 2 of 3,20,3.4797980325221925e-5
2023-24,Free Throw - Flagrant 3 of 3,20,3.4797980325221925e-5
2023-24,Free Throw - Technical,1477,0.002569830847017639
2023-24,Full Timeout,13244,0.02304322257136196
2023-24,Hanging Technical Foul,35,6.0896465569138364e-5
2023-24,Hook Driving Bank,304,5.289293009433732e-4
2023-24,Hook Shot,1901,0.003307548029912344
2023-24,Hook Shot Bank,136,2.366262662115091e-4
2023-24,Hook Turnaround Bank,216,3.7581818751239676e-4
2023-24,Illegal Assist Turnover,8,1.391919213008877e-5
2023-24,Inbound Turnover,20,3.4797980325221925e-5
2023-24,Jump Ball,13,2.2618687211394252e-5
2023-24,Jump Shot,63466,0.11042443096602673
2023-24,Jump Shot Bank,418,7.272777887971382e-4
2023-24,Jumpball,2081,0.0036207298528393413
2023-24,Jumpball Violation Turnover,3,5.219697048783288e-6
2023-24,Kicked Ball,944,0.0016424646713504747
2023-24,Kicked Ball Turnover,34,5.915656655287727e-5
2023-24,Lane,40,6.959596065044385e-5
2023-24,Lane Violation Turnover,10,1.7398990162610963e-5
2023-24,Layup Driving Reverse,2354,0.00409572228427862
2023-24,Layup Running Reverse,600,0.0010439394097566577
2023-24,Layup Shot,5434,0.009454611254362796
2023-24,Layup Shot Putback,3790,0.006594217271629554
2023-24,Loose Ball Foul,2724,0.004739484920295226
2023-24,Lost Ball Turnover,6947,0.012087078465965835
2023-24,No Foul,4,6.959596065044385e-6
2023-24,No Shot (Default Shot),5,8.699495081305481e-6
2023-24,No Turnover,8,1.391919213008877e-5
2023-24,No Violation,1,1.7398990162610963e-6
2023-24,Offensive Charge,997,0.0017346793192123129
2023-24,Offensive Foul,2880,0.005010909166831957
2023-24,Offensive Foul Turnover,3898,0.006782126365385753
2023-24,Offensive Goaltending Turnover,122,2.1226767998385374e-4
2023-24,Offensive Rebound,39998,0.06959248085241132
2023-24,Out of Bounds - Bad Pass Turnover,3946,0.0068656415181662855
2023-24,Out of Bounds - Lost Ball Turnover,1882,0.003274489948603383
2023-24,Out of Bounds - Step Turnover,805,0.0014006187080901824
2023-24,Palming Turnover,59,1.0265404195940467e-4
2023-24,Personal Foul,14007,0.024370765520769173
2023-24,Personal Take Foul,911,0.0015850480038138587
2023-24,Pullup Bank Jump Shot,538,9.360656707484697e-4
2023-24,Pullup Jump Shot,25490,0.04435002592449534
2023-24,Punched Ball Turnover,3,5.219697048783288e-6
2023-24,Putback Dunk Shot,499,8.68209609114287e-4
